name,magnitude,ra,dec
Sargas,1.87,17h 37m 19.2s,-42° 59′ 52″
Sarin,3.14,17h 15m 01.9s,+24° 50′ 21″
Sarir,3.17,09h 32m 51.4s,+51° 40′ 38″
Sceptrum,3.87,04h 38m 10.8s,-14° 18′ 14″
Scheat,2.42,23h 03m 46.5s,+28° 04′ 58″
Schedar,2.23,00h 40m 30.5s,+56° 32′ 14″
Segin,3.38,01h 54m 23.7s,+63° 40′ 12″
Seginus,3.03,14h 32m 04.7s,+38° 18′ 30″
Sham,4.37,19h 40m 05.8s,+18° 00′ 50″
Shaula,1.63,17h 33m 36.5s,-37° 06′ 14″
Sheliak,3.45,18h 50m 04.8s,+33° 21′ 46″
Sheratan,2.64,01h 54m 38.4s,+20° 48′ 29″
Sinistra,3.34,17h 59m 01.6s,-09° 46′ 25″
Sirius,-1.46,06h 45m 08.9s,-16° 42′ 58″
Situla,5.03,22h 37m 45.4s,-04° 13′ 41″
Skat,3.27,22h 54m 39.0s,-15° 49′ 15″
Spica,0.98,13h 25m 11.6s,-11° 09′ 41″
Sterope,6.43,03h 46m 02.9s,+24° 31′ 41″
Sualocin,3.77,20h 39m 38.3s,+15° 54′ 43″
Subra,3.52,09h 41m 09.0s,+09° 53′ 32″
Suhail,2.21,09h 07m 59.8s,-43° 25′ 57″
Sulafat,3.24,18h 58m 56.6s,+32° 41′ 22″
Syrma,4.08,14h 16m 00.9s,-06° 00′ 02″
Tabit,3.19,04h 49m 50.4s,+06° 57′ 41″
Talitha,3.14,08h 59m 12.4s,+48° 02′ 30″
Talitha Australis,3.60,09h 03m 37.5s,+47° 09′ 24″
Tania Australis,3.05,10h 22m 19.7s,+41° 29′ 58″
Tania Borealis,3.45,10h 17m 05.8s,+42° 54′ 52″
Tarazed,2.72,19h 46m 15.6s,+10° 36′ 48″
Taygeta,4.30,03h 45m 12.5s,+24° 28′ 02″
Tegmine,5.63,08h 12m 12.7s,+17° 38′ 52″
Tejat Posterior,2.88,06h 22m 57.6s,+22° 30′ 49″
Terebellum,4.70,19h 55m 50.4s,-26° 17′ 58″
Thabit,4.62,05h 31m 55.8s,-07° 18′ 05″
Theemin,3.82,04h 35m 33.0s,-30° 33′ 44″
Thuban,3.65,14h 04m 23.3s,+64° 22′ 33″
Tien Kwan,3.00,05h 37m 38.7s,+21° 08′ 33″
Tonatiuh,5.80,12h 05m 15.1s,+76° 54′ 21″
Torcularis Septentrionalis,4.26,01h 45m 23.6s,+09° 09′ 28″
Tureis,2.81,08h 07m 32.6s,-24° 18′ 15″
Tyl,3.83,19h 48m 10.4s,+70° 16′ 04″
Unukalhai,2.65,15h 44m 16.1s,+06° 25′ 32″
Vega,0.03,18h 36m 56.3s,+38° 47′ 01″
Veritate,5.22,23h 31m 17.4s,+39° 14′ 11″
Vindemiatrix,2.83,13h 02m 10.6s,+10° 57′ 33″
Wasat,3.53,07h 20m 07.4s,+21° 58′ 56″
Wazn,3.12,05h 50m 57.6s,-35° 46′ 06″
Wezen,1.84,07h 08m 23.5s,-26° 23′ 36″
Yed Posterior,3.24,16h 18m 19.3s,-04° 41′ 33″
Yed Prior,2.74,16h 14m 20.7s,-03° 41′ 40″
Yildun,4.36,17h 32m 12.9s,+86° 35′ 11″
Zaniah,3.89,12h 19m 54.4s,-00° 40′ 01″
Zaurak,2.95,03h 58m 01.8s,-13° 30′ 31″
Zavijava,3.61,11h 50m 41.7s,+01° 45′ 53″
Zibal,4.80,03h 15m 50.0s,-08° 49′ 11″
Zosma,2.56,11h 14m 06.5s,+20° 31′ 25″
Zuben-el-Akrab,3.91,15h 35m 31.6s,-14° 47′ 22″
Zuben-el-Akribi,4.92,15h 00m 58.4s,-08° 31′ 08″
Zubenelgenubi,2.75,14h 50m 52.7s,-16° 02′ 30″
Zubeneschamali,2.61,15h 17m 00.4s,-09° 22′ 59″
